Полное наименование,ОКПО,ИНН,ОГРН
Общество с ограниченной ответственностью ДОЧЕРНЕЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ОТКРЫТОГО АКЦИОНЕРНОГО ОБЩЕСТВА АМУРАГРОПРОМСНАБ ПЕКАРНЯ,44090754,2804007987,1022800713011
Общество с ограниченной ответственностью АРТЕЛЬ СТАРАТЕЛЕЙ АМУРСТАР-1,44100292,2826003305,1022801225963
Общество с ограниченной ответственностью КЛЕОПАТРА - С,44176160,2540049004,1022502267259
Общество с ограниченной ответственностью АНИТА С,44434099,7721114568,1037739468568
Общество с ограниченной ответственностью ПОКРОВ,44593231,2463039680,1022402147338
Общество с ограниченной ответственностью БИ-С,44599601,2463039979,1022402139220
Общество с ограниченной ответственностью МЕТАН - С,44694446,6729013520,1036758301480
Общество с ограниченной ответственностью БИТТЕХНИКА,44822235,5905007675,1025901207650
Общество с ограниченной ответственностью С-ТРЕЙД,44836923,5918009870,1025901923728
Общество с ограниченной ответственностью ЩИТ-С,44859449,6165059800,1026103712425
Общество с ограниченной ответственностью С-ФК,44881266,6227011488,1026200871003
Общество с ограниченной ответственностью СЕЛЬСКОХОЗЯЙСТВЕННОЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КУЗАЙКИНО,44958661,1625001730,1021601976967
Общество с ограниченной ответственностью ИЗДАТЕЛЬСКИЙ ДОМ КЛЮЧ-С,45154462,5040041387,1035007906174
Общество с ограниченной ответственностью МЕТВОД,45252561,5102041686,1025100537516
Общество с ограниченной ответственностью СОВМЕСТНОЕ ПРЕДПРИЯТИЕ НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ В ФОРМЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОЛЛЕДЖ САХАЛИН-АЛЯСКА,45429083,6501090687,1026500521783
Общество с ограниченной ответственностью В.А.В.С.,45699919,5079007564,1025007864573
Общество с ограниченной ответственностью АКТИВ-С,45963316,3666066899,1023601564128
Общество с ограниченной ответственностью ТЕХРЕСУРС-С,46095276,4349006185,1024301319976
Общество с ограниченной ответственностью АЛЬФА С,46152502,2628019423,1022601320796
Общество с ограниченной ответственностью ВАВИЛОН*С,46180757,3729025986,1023700557539
Общество с ограниченной ответственностью ОКУЛЮС-С,46336834,4208011231,1024200695287
Общество с ограниченной ответственностью Ю,46350811,7710235313,1037739569306
Общество с ограниченной ответственностью АСТЭЛ-С,46413189,7701152540,1037700194641
Общество с ограниченной ответственностью АЙДО-С,46454947,7736168510,1027700397163
